Notebook,Prioridade,Título,URL,Observação
Auditoria,Essencial,Decreto 1.651/1995,https://www.planalto.gov.br/ccivil_03/decreto/d1651.htm,Lei
Auditoria,Essencial,Lei 8.689/1993,https://www.planalto.gov.br/ccivil_03/leis/l8689.htm,Lei
Métodos,Essencial,ISPOR Oficial,https://www.ispor.org,Site
Métodos,Essencial,ISPOR Economic Evaluation,https://www.ispor.org/heor-resources/good-practices/economic-evaluation,Prática
Métodos,Essencial,ISPOR Good Practices,https://www.ispor.org/heor-resources/good-practices/,Prática
Métodos,Essencial,ISPOR Brasil,https://ispor.org.br,Local
Métodos,Essencial,Diretriz Econômica CONITEC,https://www.gov.br/conitec/pt-br/midias/artigos_publicacoes/diretrizes/diretriz-de-avaliacao-economica.pdf,Manual
Métodos,Essencial,Diretrizes Metodológicas BVSMS,https://bvsms.saude.gov.br/bvs/publicacoes/diretrizes_metodologicas_diretriz_avaliacao_economica.pdf,Manual
Métodos,Essencial,Análise Custo-Efetividade,https://www.gov.br/conitec/pt-br/assuntos/avaliacao-de-tecnologias-em-saude,Conceito
Métodos,Essencial,Inferência Causal ISPOR,https://www.ispor.org/heor-resources/good-practices/article/causal-inference-methods-in-health-economics-and-outcomes-research,Prática
Métodos,Essencial,Glossário Economia Saúde,https://bvsms.saude.gov.br/bvs/publicacoes/glossario_economia_saude.pdf,Termo
Métodos,Essencial,Relatório Tendências HEOR,https://www.ispor.org/heor-resources/good-practices/article/applying-health-economics-and-outcomes-research-methods-in-value-bas,Visão
